Material,Thermal conductivity (k) (W/m·K),Density (ρ) (kg/m³),Specific heat (cp) (J/kg·K),Thickness (L) (m),Absorptivity (α),U-value (W/m²·K)
Rammed Earth / Mud Wall,0.75,1600.0,850,0.45,0.7,1.3
Sun-Dried Adobe Mud Bricks,0.6,1500.0,900,0.3,0.65,1.49
Granite Stone Masonry,2.2,2600.0,800,0.4,0.6,2.84
Straw-Clay Straw Insulation Layer,0.08,400.0,1300,0.1,0.5,0.7
Wood (Poplar/Willow Roofing Planks),0.13,450.0,1600,0.05,0.75,1.8
Thatch / Willow Twigs Layer (Talgu),0.06,200.0,1500,0.15,0.8,0.37
Glass Wool (Modern Insulation),0.04,24.0,840,0.075,0.3,0.49
Expanded Polystyrene (EPS Insulation),0.036,20.0,1200,0.05,0.6,0.64
Double Glazed Window (Air Cavity),0.024,1.2,1004,0.012,0.15,1.49
